Education Level;Province;Island;State-owned School with Internet;Private-owned School with Internet;Total Schools with Internet;Total State-owned Schools;Total Private-owned Schools;Total Schools;State-owned School without Internet;Private-owned School without Internet;Total Schools without Internet;
Elementary School;Aceh;Sumatra;2188;156;2344;3335;197;3532;1147;41;1188;
Elementary School;Sumatera Utara;Sumatra;5257;1321;6578;8167;1584;9751;2910;263;3173;
Elementary School;Sumatera Barat;Sumatra;2599;272;2871;3892;314;4206;1293;42;1335;
Elementary School;Riau;Sumatra;2426;498;2924;3230;585;3815;804;87;891;
Elementary School;Jambi;Sumatra;1742;136;1878;2304;160;2464;562;24;586;
Elementary School;Sumatera Selatan;Sumatra;3253;404;3657;4249;470;4719;996;66;1062;
Elementary School;Bengkulu;Sumatra;826;93;919;1289;118;1407;463;25;488;
Elementary School;Lampung;Sumatra;3156;353;3509;4297;429;4726;1141;76;1217;
Elementary School;Kepulauan Bangka Belitung;Sumatra;621;67;688;761;72;833;140;5;145;
Elementary School;Kepulauan Riau;Sumatra;555;284;839;683;299;982;128;15;143;
Elementary School;DKI Jakarta;Java;1270;893;2163;1305;919;2224;35;26;61;
Elementary School;Jawa Barat;Java;14928;2277;17205;17104;2449;19553;2176;172;2348;
Elementary School;Jawa Tengah;Java;16070;1267;17337;17298;1320;18618;1228;53;1281;
Elementary School;DI Yogyakarta;Java;1360;406;1766;1422;424;1846;62;18;80;
Elementary School;Jawa Timur;Java;15481;1917;17398;16902;2078;18980;1421;161;1582;
Elementary School;Banten;Java;3469;701;4170;3853;757;4610;384;56;440;
Elementary School;Bali;Bali;2064;146;2210;2254;155;2409;190;9;199;
Elementary School;Nusa Tenggara Barat;Lesser Sunda Islands;2377;255;2632;3008;322;3330;631;67;698;
Elementary School;Nusa Tenggara Timur;Lesser Sunda Islands;1896;1112;3008;3396;1829;5225;1500;717;2217;
Elementary School;Kalimantan Barat;Kalimantan;2024;239;2263;4140;307;4447;2116;68;2184;
Elementary School;Kalimantan Tengah;Kalimantan;1386;194;1580;2414;236;2650;1028;42;1070;
Elementary School;Kalimantan Selatan;Kalimantan;2164;153;2317;2738;182;2920;574;29;603;
Elementary School;Kalimantan Timur;Kalimantan;1214;250;1464;1657;272;1929;443;22;465;
Elementary School;Kalimantan Utara;Kalimantan;227;40;267;437;48;485;210;8;218;
Elementary School;Sulawesi Utara;Sulawesi;813;535;1348;1347;862;2209;534;327;861;
Elementary School;Sulawesi Tengah;Sulawesi;1567;163;1730;2675;269;2944;1108;106;1214;
Elementary School;Sulawesi Selatan;Sulawesi;4044;304;4348;6070;364;6434;2026;60;2086;
Elementary School;Sulawesi Tenggara;Sulawesi;1395;75;1470;2256;91;2347;861;16;877;
Elementary School;Gorontalo;Sulawesi;639;28;667;897;34;931;258;6;264;
Elementary School;Sulawesi Barat;Sulawesi;648;19;667;1297;32;1329;649;13;662;
Elementary School;Maluku;Maluku Islands;680;237;917;1277;538;1815;597;301;898;
